trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
710,False,"{'a': 0.002, 'e': 0.2421979286813109}",25,0,-9.360516314028203,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
711,False,"{'a': 0.002, 'e': 0.24171401689703645}",20,11,-59.55723230981414,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
712,False,"{'a': 0.002, 'e': 0.24123107196915192}",30,0,31.941930156884574,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
713,False,"{'a': 0.002, 'e': 0.24074909196587688}",20,14,-10.574936203576575,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
714,False,"{'a': 0.002, 'e': 0.2402680749592907}",25,11,22.527598379476704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.002, 'e': 0.2397880190253247}",20,0,-7.052422220637815,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
716,False,"{'a': 0.002, 'e': 0.23930892224375455}",20,4,21.48845191656841,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.002, 'e': 0.23883078269819244}",20,0,-11.44239016346811,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
718,False,"{'a': 0.002, 'e': 0.23835359847607956}",20,14,10.78520721980405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.002, 'e': 0.2378773676686784}",25,12,8.003524123267319,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
720,False,"{'a': 0.002, 'e': 0.23740208837106508}",25,5,16.829793227179678,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.002, 'e': 0.23692775868212176}",25,2,38.28359524108907,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.002, 'e': 0.2364543767045291}",20,0,-31.175164948342296,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
723,False,"{'a': 0.002, 'e': 0.23598194054475852}",25,10,0.8801997787059384,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
724,False,"{'a': 0.002, 'e': 0.23551044831306475}",20,2,14.4389264165083,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
725,False,"{'a': 0.002, 'e': 0.23503989812347828}",30,0,20.072891512244453,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
726,False,"{'a': 0.002, 'e': 0.23457028809379765}",30,17,20.355789156626813,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.002, 'e': 0.2341016163455822}",30,22,11.949326139374783,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.002, 'e': 0.23363388100414423}",25,1,38.12771199544703,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
